,author_id
1122,A10073314
1123,A1007335878
1124,A100733682
1125,A100734421
1126,A1007347335
1127,A100735276
1128,A100735327
1129,A100736479
1130,A1007364928
1131,A1007365750
1132,A1007372
1133,A1007375257
1134,A1007385196
1135,A100740361
1136,A1007405722
1137,A1007406827
1138,A10074148
1139,A1007415406
1140,A100742084
1141,A100742358
1142,A100742963
1143,A1007431464
1144,A100746532
1145,A100747324
1146,A100748767
1147,A1007489724
1148,A1007497441
1149,A1007499644
1150,A1007530055
1151,A100753039
1152,A100753504
1153,A1007537476
1154,A100754343
1155,A100754683
1156,A100754817
1157,A100756104
1158,A100756414
1159,A100757837
1160,A100758122
1161,A1007601914
1162,A1007609068
1163,A1007624576
1164,A1007629015
1165,A1007642408
1166,A1007653030
1167,A100767537
1168,A1007678855
1169,A100768562
1170,A1007693964
1171,A100769422
1172,A100769690
1173,A1007698402
1174,A100771224
1175,A1007719677
1176,A100773537
1177,A1007744128
1178,A100775208
1179,A1007764486
1180,A1007767072
1181,A1007774932
1182,A1007776274
1183,A10077771
1184,A1007792952
1185,A1007802877
1186,A1007811767
1187,A100782679
1188,A1007853980
1189,A1007854762
1190,A100787336
1191,A1007876167
1192,A100787792
1193,A10078791
1194,A1007887842
1195,A1007913745
1196,A100791463
1197,A1007915466
1198,A1007917903
1199,A1007918721
1200,A10079244
1201,A100793356
1202,A100795900
1203,A1007970556
1204,A100798240
1205,A100800656
1206,A1008006822
1207,A1008007327
1208,A100802309
1209,A100803531
1210,A100803692
1211,A1008050281
1212,A1008060227
1213,A1008061727
1214,A10080627
1215,A1008064
1216,A1008065899
1217,A100810856
1218,A100811632
1219,A100812586
1220,A1008133817
1221,A1008148242
1222,A1008157115
1223,A100816567
1224,A1008171782
1225,A1008177083
1226,A100817749
1227,A1008190009
1228,A1008202850
1229,A100820336
1230,A100823782
1231,A1008239884
1232,A1008245375
1233,A100824575
1234,A100824768
1235,A10082637
1236,A1008268033
1237,A1008272481
1238,A100827933
1239,A1008284202
1240,A100828955
1241,A1008309793
1242,A1008324266
1243,A100832446
1244,A1008337928
1245,A100834104
1246,A100834853
1247,A1008348576
1248,A100837053
1249,A100838333
1250,A10083886
1251,A1008397168
1252,A1008399078
1253,A1008399291
1254,A1008406519
